???????,?????????,????????,88002038911,856
?????,???,?????????????,79222486770,78
????????,??????????,?????????????,79227324770,687
????,?????????,???????,35222588381,286
??????,?????????,???????,35222036809,790
???????,?????????????,??????,79226338582,952
???,??????????,?????????,79223270708,812
???????,??????,?????????,35222931082,580
????????,?????????,?????????,35222189780,810
???????,????????,????????,35222245542,495
????,?????????,??????,35222830241,581
?????,??????????,???????,35222294687,895
????????,?????????,??????????,79221779562,30
??????,??????????,??????,79225341403,766
????,????????????,?????,79225263811,861
???????,??????,??????????,79226264015,297
?????,????????,?????,79222801169,412
????????,??????????,???????,79220927619,16
?????????,????,????????????,88009451436,479
???????,??????????,?????????,35222567586,578
???????,?????,????????????,79225964653,575
??????,????????,??????????,88008487817,716
???????????,??????,????????????,35222519218,302
???,????????????,?????,35222396305,304
?????,??????,????????????,35222518800,387
?????????,????????,?????????????,79220392319,809
??????????,???????,????????,35222968992,57
??,??????????,????????,35222080622,314
??????,????,??????????,88006664142,594
???????????,?????,?????????,88006646072,406
???????,???????,??????????,88007025377,475
????????,?????,???????,35222979897,300
????????,????,?????????????,79226362397,275
????,??????????,??????,35222581054,976
???????,??????,?????????,35222068317,6
?????????,????,?????????,79229215113,789
??????,??????????,?????????????,79221982835,20
??????,??????,???????,88003003406,504
?????,??????????,???????,88003990082,821
?????,??????????,???????,88006551716,784
????????,????????,???????,79226494300,790
????????,???????,???????,79229345093,541
??????,?????????,??????,79228104327,155
???????,????,???????,88008912005,705
???????,????????????,???????,88009536290,838
??????????,?????,?????????,79222426892,508
????????,?????,?????????????,88009858257,734
??????????,?????????????,??????,35222197183,157
??????????,?????????????,????????,35222888830,561
????????,?????????,??????????,35222317150,547
???????,?????,????????????,35222191048,923
???,????????????,????????,35222716272,439
??????,?????????,????????,88007113758,844
????????,??????????,?????????,88002585495,805
???????,????????????,???????,35222808270,510
???????,??????????,??????,88002625870,132
?????????,?????,??????????,79228089427,974
????????,??????????,????????,35222447675,260
????????,?????,??????????,79224281420,988
????,????????,????????,79226296902,474
??????,???,?????????,35222041326,655
????,????????,???????,79229360905,568
??????,??????,??????????,35222363146,746
????????,?????????,????????,35222832196,489
????????,????,?????????,79229323933,334
????,?????????,????????,79221495824,47
